category,qid,name,question,answer,model_output_norm,correct
Collide,55,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0013,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,56,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0014,Will the red torus touch the yellow mat?,no,no,1
Collide,57,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0015,Will the red torus touch the yellow mat?,no,yes,0
Collide,58,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0016,Will the red torus touch the yellow mat?,no,yes,0
Collide,59,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0017,Will the red triangular prism touch the yellow mat?,no,no,1
Collide,60,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0018,Will the red cone touch the yellow mat?,no,yes,0
Collide,61,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0019,Will the red cone touch the yellow mat?,no,no,1
Collide,62,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0020,Will the red torus touch the yellow mat?,yes,yes,1
Collide,63,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0021,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,64,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0022,Will the red torus touch the yellow mat?,no,no,1
Collide,65,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0023,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,66,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0024,Will the red torus touch the yellow mat?,yes,no,0
Collide,67,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0025,Will the red torus touch the yellow mat?,yes,yes,1
Collide,68,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0026,Will the red pyramid touch the yellow mat?,no,no,1
Collide,69,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0027,Will the red torus touch the yellow mat?,yes,yes,1
Collide,70,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0028,Will the red pyramid touch the yellow mat?,no,yes,0
Collide,71,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0029,Will the red torus touch the yellow mat?,no,yes,0
Collide,72,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0030,Will the red pyramid touch the yellow mat?,no,no,1
Collide,73,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0031,Will the red torus touch the yellow mat?,yes,yes,1
Collide,74,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0032,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,75,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0033,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,76,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0034,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,77,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0035,Will the red torus touch the yellow mat?,no,yes,0
Collide,78,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0036,Will the red dumbbell touch the yellow mat?,yes,no,0
Collide,79,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0037,Will the red cone touch the yellow mat?,no,yes,0
Collide,80,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0038,Will the red pyramid touch the yellow mat?,no,no,1
Collide,81,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0039,Will the red cone touch the yellow mat?,no,no,1
Collide,82,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0040,Will the red cone touch the yellow mat?,yes,yes,1
Collide,83,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0041,Will the red cone touch the yellow mat?,no,no,1
Collide,84,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0000,Will the red torus touch the yellow mat?,no,no,1
Collide,85,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0001,Will the red pyramid touch the yellow mat?,no,no,1
Collide,86,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0002,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,87,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0003,Will the red cone touch the yellow mat?,no,no,1
Collide,88,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0004,Will the red cone touch the yellow mat?,no,no,1
Collide,89,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0005,Will the red cone touch the yellow mat?,yes,no,0
Collide,90,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0006,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,91,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0007,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,92,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0008,Will the red pyramid touch the yellow mat?,no,yes,0
Collide,93,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0009,Will the red pyramid touch the yellow mat?,no,yes,0
Collide,94,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0010,Will the red torus touch the yellow mat?,yes,yes,1
Collide,95,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0011,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,96,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0012,Will the red pyramid touch the yellow mat?,yes,yes,1
Collide,97,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0013,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,98,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0014,Will the red torus touch the yellow mat?,no,no,1
Collide,99,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0015,Will the red torus touch the yellow mat?,no,no,1
Collide,100,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0016,Will the red torus touch the yellow mat?,no,no,1
Collide,101,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0017,Will the red triangular prism touch the yellow mat?,no,no,1
Collide,102,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0018,Will the red cone touch the yellow mat?,no,no,1
Collide,103,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0019,Will the red cone touch the yellow mat?,no,yes,0
Collide,104,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0020,Will the red torus touch the yellow mat?,yes,yes,1
Collide,105,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0021,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,106,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0022,Will the red torus touch the yellow mat?,no,yes,0
Collide,107,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0023,Will the red dumbbell touch the yellow mat?,yes,no,0
Collide,108,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0024,Will the red torus touch the yellow mat?,yes,no,0
Collide,109,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0025,Will the red torus touch the yellow mat?,yes,yes,1
Collide,110,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0026,Will the red pyramid touch the yellow mat?,no,no,1
Collide,111,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0027,Will the red torus touch the yellow mat?,yes,yes,1
Collide,112,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0028,Will the red pyramid touch the yellow mat?,no,no,1
Collide,113,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0029,Will the red torus touch the yellow mat?,yes,yes,1
Collide,114,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0030,Will the red pyramid touch the yellow mat?,no,no,1
Collide,115,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0031,Will the red torus touch the yellow mat?,yes,yes,1
Collide,116,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0032,Will the red pyramid touch the yellow mat?,yes,yes,1
Collide,117,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0033,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,118,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0034,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,119,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0035,Will the red torus touch the yellow mat?,no,yes,0
Collide,120,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0036,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,121,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0037,Will the red cone touch the yellow mat?,no,no,1
Collide,122,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0038,Will the red pyramid touch the yellow mat?,no,no,1
Collide,123,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0039,Will the red cone touch the yellow mat?,no,no,1
Collide,124,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0040,Will the red cone touch the yellow mat?,yes,yes,1
Collide,125,pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0041,Will the red cone touch the yellow mat?,no,yes,0
Collide,126,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0000,Will the red torus touch the yellow mat?,no,yes,0
Collide,127,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0001,Will the red pyramid touch the yellow mat?,no,no,1
Collide,128,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0002,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,129,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0003,Will the red cone touch the yellow mat?,no,no,1
Collide,130,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0004,Will the red cone touch the yellow mat?,no,no,1
Collide,131,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0005,Will the red cone touch the yellow mat?,yes,no,0
Collide,132,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0006,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,133,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0007,Will the red pyramid touch the yellow mat?,no,no,1
Collide,134,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0008,Will the red pyramid touch the yellow mat?,no,no,1
Collide,135,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0009,Will the red pyramid touch the yellow mat?,no,no,1
Collide,136,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0010,Will the red torus touch the yellow mat?,yes,yes,1
Collide,137,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0011,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,138,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0012,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,139,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0013,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,140,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0014,Will the red torus touch the yellow mat?,no,yes,0
Collide,141,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0015,Will the red torus touch the yellow mat?,no,yes,0
Collide,142,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0016,Will the red torus touch the yellow mat?,no,yes,0
Collide,143,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0017,Will the red triangular prism touch the yellow mat?,no,yes,0
Collide,144,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0018,Will the red cone touch the yellow mat?,no,yes,0
Collide,145,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0019,Will the red cone touch the yellow mat?,no,no,1
Collide,146,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0020,Will the red torus touch the yellow mat?,yes,yes,1
Collide,147,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0021,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,148,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0022,Will the red torus touch the yellow mat?,no,no,1
Collide,149,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0023,Will the red dumbbell touch the yellow mat?,yes,no,0
Collide,150,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0024,Will the red torus touch the yellow mat?,yes,no,0
Collide,151,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0025,Will the red torus touch the yellow mat?,yes,yes,1
Collide,152,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0026,Will the red pyramid touch the yellow mat?,no,no,1
Collide,153,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0027,Will the red torus touch the yellow mat?,yes,yes,1
Collide,154,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0028,Will the red pyramid touch the yellow mat?,no,yes,0
Collide,155,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0029,Will the red torus touch the yellow mat?,yes,yes,1
Collide,156,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0030,Will the red pyramid touch the yellow mat?,no,no,1
Collide,157,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0031,Will the red torus touch the yellow mat?,no,yes,0
Collide,158,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0032,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,159,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0033,Will the red pyramid touch the yellow mat?,no,no,1
Collide,160,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0034,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,161,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0035,Will the red torus touch the yellow mat?,no,no,1
Collide,162,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0036,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,163,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0037,Will the red cone touch the yellow mat?,no,yes,0
Collide,164,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0038,Will the red pyramid touch the yellow mat?,no,no,1
Collide,165,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0039,Will the red cone touch the yellow mat?,no,no,1
Collide,166,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0040,Will the red cone touch the yellow mat?,yes,yes,1
Collide,167,pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0041,Will the red cone touch the yellow mat?,no,no,1
Collide,168,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0000,Will the red torus touch the yellow mat?,no,no,1
Collide,169,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0001,Will the red pyramid touch the yellow mat?,no,no,1
Collide,170,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0002,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,171,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0003,Will the red cone touch the yellow mat?,no,no,1
Collide,172,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0004,Will the red cone touch the yellow mat?,no,no,1
Collide,173,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0005,Will the red cone touch the yellow mat?,yes,no,0
Collide,174,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0006,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,175,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0007,Will the red pyramid touch the yellow mat?,no,yes,0
Collide,176,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0008,Will the red pyramid touch the yellow mat?,no,no,1
Collide,177,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0009,Will the red pyramid touch the yellow mat?,no,no,1
Collide,178,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0010,Will the red torus touch the yellow mat?,yes,yes,1
Collide,179,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0011,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,180,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0012,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,181,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0013,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,182,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0014,Will the red torus touch the yellow mat?,no,yes,0
Collide,183,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0015,Will the red torus touch the yellow mat?,no,yes,0
Collide,184,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0016,Will the red torus touch the yellow mat?,no,no,1
Collide,185,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0017,Will the red triangular prism touch the yellow mat?,no,yes,0
Collide,186,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0018,Will the red cone touch the yellow mat?,no,yes,0
Collide,187,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0019,Will the red cone touch the yellow mat?,no,no,1
Collide,188,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0020,Will the red torus touch the yellow mat?,yes,yes,1
Collide,189,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0021,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,190,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0022,Will the red torus touch the yellow mat?,no,no,1
Collide,191,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0023,Will the red dumbbell touch the yellow mat?,yes,no,0
Collide,192,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0024,Will the red torus touch the yellow mat?,yes,yes,1
Collide,193,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0025,Will the red torus touch the yellow mat?,yes,yes,1
Collide,194,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0026,Will the red pyramid touch the yellow mat?,no,no,1
Collide,195,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0027,Will the red torus touch the yellow mat?,yes,no,0
Collide,196,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0028,Will the red pyramid touch the yellow mat?,no,yes,0
Collide,197,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0029,Will the red torus touch the yellow mat?,yes,yes,1
Collide,198,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0030,Will the red pyramid touch the yellow mat?,no,no,1
Collide,199,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0031,Will the red torus touch the yellow mat?,no,yes,0
Collide,200,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0032,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,201,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0033,Will the red pyramid touch the yellow mat?,no,no,1
Collide,202,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0034,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,203,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0035,Will the red torus touch the yellow mat?,no,yes,0
Collide,204,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0036,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,205,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0037,Will the red cone touch the yellow mat?,no,no,1
Collide,206,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0038,Will the red pyramid touch the yellow mat?,no,no,1
Collide,207,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0039,Will the red cone touch the yellow mat?,no,no,1
Collide,208,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0040,Will the red cone touch the yellow mat?,yes,yes,1
Collide,209,pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0041,Will the red cone touch the yellow mat?,no,yes,0
Collide,210,pilot_it2_collision_non-sphere_box_0000,Will the red pyramid touch the yellow mat?,yes,yes,1
Collide,211,pilot_it2_collision_non-sphere_box_0001,Will the red pentagon touch the yellow mat?,yes,no,0
Collide,212,pilot_it2_collision_non-sphere_box_0002,Will the red pyramid touch the yellow mat?,yes,yes,1
Collide,213,pilot_it2_collision_non-sphere_box_0003,Will the red bowl touch the yellow mat?,no,yes,0
Collide,214,pilot_it2_collision_non-sphere_box_0004,Will the red bowl touch the yellow mat?,yes,yes,1
Collide,215,pilot_it2_collision_non-sphere_box_0005,Will the red bowl touch the yellow mat?,yes,yes,1
Collide,216,pilot_it2_collision_non-sphere_box_0006,Will the red torus touch the yellow mat?,no,no,1
Collide,217,pilot_it2_collision_non-sphere_box_0007,Will the red pentagon touch the yellow mat?,no,no,1
Collide,218,pilot_it2_collision_non-sphere_box_0008,Will the red pentagon touch the yellow mat?,yes,no,0
Collide,219,pilot_it2_collision_non-sphere_box_0009,Will the red dumbbell touch the yellow mat?,yes,no,0
Collide,220,pilot_it2_collision_non-sphere_box_0010,Will the red pipe touch the yellow mat?,yes,yes,1
Collide,221,pilot_it2_collision_non-sphere_box_0011,Will the red cube touch the yellow mat?,yes,yes,1
Collide,222,pilot_it2_collision_non-sphere_box_0012,Will the red dumbbell touch the yellow mat?,yes,no,0
Collide,223,pilot_it2_collision_non-sphere_box_0013,Will the red cube touch the yellow mat?,yes,yes,1
Collide,224,pilot_it2_collision_non-sphere_box_0014,Will the red pipe touch the yellow mat?,yes,yes,1
Collide,225,pilot_it2_collision_non-sphere_box_0015,Will the red pyramid touch the yellow mat?,no,no,1
Collide,226,pilot_it2_collision_non-sphere_box_0016,Will the red pipe touch the yellow mat?,yes,yes,1
Collide,227,pilot_it2_collision_non-sphere_box_0017,Will the red torus touch the yellow mat?,no,no,1
Collide,228,pilot_it2_collision_non-sphere_box_0018,Will the red cone touch the yellow mat?,no,no,1
Collide,229,pilot_it2_collision_non-sphere_box_0019,Will the red cone touch the yellow mat?,no,no,1
Collide,230,pilot_it2_collision_non-sphere_box_0020,Will the red pyramid touch the yellow mat?,yes,yes,1
Collide,231,pilot_it2_collision_non-sphere_box_0021,Will the red pentagon touch the yellow mat?,yes,no,0
